,ID_REF,GB_ACC,Gene Symbol,ENTREZ_GENE_ID,Control_Mean,Treated_Mean,log2_fold_change,Statistics,p-Value
136,1553253_at,NM_080863,ASB16,92591,9.30718022104742,7.767618537129382,1.5395616839180368,3.3175251461059414,0.01605369816758638
235,1553954_at,BU682208,ALG14,199857,8.08667413840733,6.503933448663215,1.5827406897441154,2.4766003123584537,0.04802608196757136
259,1554043_a_at,BC012528,,,8.667420279498872,6.85722209307226,1.8101981864266117,2.6675612881763886,0.03714723934335955
381,1554772_at,BC036407,EFCAB13,124989,10.226655273545216,8.644272022062188,1.5823832514830283,2.9053224077946656,0.02714540972019023
425,1555118_at,BC029869,ENTPD3,956,7.72259069958037,5.923431773142649,1.7991589264377206,3.371085856486199,0.015022278061096376
461,1555318_at,BC026308,HIF3A,64344,10.444052662465966,8.72872938417385,1.7153232782921162,3.3603811817326488,0.015222447988450152
860,1558011_at,BM823647,LOC441081,441081,12.455206726896957,10.87426218001732,1.5809445468796373,3.693604370558049,0.010165169310449635
914,1558409_at,AW974642,,,9.538866832602643,7.915457163105929,1.6234096694967146,5.3774809742585035,0.0016997049521271543
946,1558654_at,BC040177,AK024134 /// PPM1H,57460,11.579872158429598,10.04078390522043,1.5390882532091688,4.8304296188992675,0.002908986621159599
1039,1559455_at,BG430958,,,8.971353289774022,7.2106714003165076,1.7606818894575147,2.535684963432486,0.0443382409778133
1150,1560485_at,BC028111,HIVEP1,3096,6.889644685629356,5.235367004467051,1.6542776811623048,2.751689777887914,0.033217331567159544
1530,1566265_at,AF075080,,,8.709753642625683,6.359937850724033,2.3498157919016505,2.8145264584542975,0.030573502374371137
1569,1566798_at,BC041649,LLNLR-246C6.1,,9.448344131925046,7.884182892172417,1.5641612397526288,2.5357522190059467,0.044334217974404094
1692,1569192_at,BC017989,,,10.409633876937466,8.889752555229533,1.519881321707933,5.051493376551162,0.002330188988868318
1822,1570566_at,AA604601,,,10.038042264336358,8.10555117079435,1.9324910935420085,4.119966781686886,0.006216475197473079
1995,200704_at,AB034747,LITAF,9516,9.36201687497411,7.530200700617238,1.831816174356872,3.0073356034403087,0.023782074314490732
2315,201170_s_at,NM_003670,BHLHE40,8553,9.507366360031401,6.9687726805313055,2.538593679500096,2.613386299709131,0.03993867478494837
2890,202134_s_at,NM_015472,WWTR1,25937,10.143849237508196,7.840770849114422,2.3030783883937733,3.6486940032511446,0.010723018394235853
4069,204860_s_at,AI817801,NAIP,4671,9.529942544384204,7.776330693870373,1.7536118505138303,3.7342378212408502,0.009688093249954179
4253,205446_s_at,NM_001880,ATF2,1386,9.360271678392397,7.614118687263158,1.7461529911292395,3.7274510210017384,0.009766017029495479
4358,205856_at,NM_015865,SLC14A1,6563,10.442127233125538,8.939413354603774,1.5027138785217637,3.175125313160732,0.019193856330452366
4469,206263_at,NM_002022,FMO4,2329,6.7676512050859206,5.077609316399467,1.6900418886864532,3.3728608358530408,0.014989367809182237
4479,206307_s_at,NM_004472,FOXD1,2297,8.645206397099367,6.464716608063243,2.1804897890361232,3.047722380786637,0.022577834850378956
5343,209291_at,AW157094,ID4,3400,12.716771698521189,11.1710211285558,1.5457505699653886,4.468685080418565,0.004243393704872325
5432,209487_at,D84109,RBPMS,11030,12.367461147955595,10.614424600681195,1.7530365472743998,4.763017623931232,0.003116703860832888
5502,209651_at,BC001830,TGFB1I1,7041,10.199533762720215,7.467973010640511,2.7315607520797034,2.757837467018226,0.032948151360225296
6448,212460_at,BE738425,SPTSSA,171546,9.835234993438034,8.200217586949886,1.6350174064881475,5.206871308694647,0.002001463035600238
6935,213357_at,AV701318,GTF2H5,404672,9.17754492048995,7.4638337952893785,1.7137111252005717,3.0749526612797733,0.021803374372017768
7217,214022_s_at,AA749101,IFITM1,8519,8.965336105269042,7.347146428151689,1.6181896771173534,2.4616280890725766,0.04901108469014081
7403,214586_at,T16257,GPR37,2861,10.36970691046583,8.696432655701802,1.6732742547640278,3.064102688966916,0.022108441590600256
7836,216056_at,AW851559,CD44,960,10.885744228757986,9.05674980421816,1.8289944245398253,2.7430687966928726,0.033598784469869775
7856,216124_at,AK024158,,,7.104904831079031,5.032841177223488,2.072063653855543,3.032580771152571,0.023021378834859847
8699,218863_s_at,NM_022648,TNS1,7145,11.059455210370599,9.129570426873494,1.929884783497105,2.9997923741669505,0.024014630741942312
9035,220026_at,NM_012128,CLCA4,22802,8.874289667330409,7.094080704798065,1.7802089625323436,3.7828707782281707,0.009149502935518682
9110,220349_s_at,NM_022759,ENGASE,64772,8.78516029433164,6.919076953395989,1.86608334093565,3.1579134369146167,0.01961684229422076
9251,221045_s_at,NM_016831,PER3,8863,8.928996653853924,7.335205399897626,1.5937912539562973,3.33840374164237,0.015642663422944833
