,Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelf
0,Kambur,Şule Gürbüz,0,3.72,92.0,1992.0,1992.0,,2024/11/23,to-read
1,Coşkuyla Ölmek,Şule Gürbüz,0,4.29,191.0,2012.0,2012.0,,2024/11/23,to-read
2,Cadı - Cadı Çarpıyor,Hüseyin Rahmi Gürpınar,0,3.94,251.0,2013.0,,,2024/11/23,to-read
3,Kokotlar Mektebi,Hüseyin Rahmi Gürpınar,0,3.99,333.0,2010.0,1929.0,,2024/11/23,to-read
4,Levayih-i Hayat (Sömizli);Hayattan Sahneler,Fatma Aliye Hanım,0,3.59,64.0,2021.0,1898.0,,2024/11/18,to-read
5,Türklerin Tarihi: Orta Asya'nın Bozkırlarından Avrupa'nın Kapılarına,İlber Ortaylı,0,3.81,320.0,2015.0,2015.0,,2024/11/18,to-read
6,Eski Türk Mitolojisi,Jean-Paul Roux,0,3.89,158.0,2012.0,1999.0,,2024/11/18,to-read
7,Kitab-ül Hiyel,İhsan Oktay Anar,4,4.15,154.0,2017.0,1996.0,2023/10/08,2023/05/01,read
8,Devlet Ana,Kemal Tahir,0,4.25,656.0,2016.0,1967.0,,2024/11/15,currently-reading
9,Yedinci Gün,İhsan Oktay Anar,3,3.84,240.0,2012.0,2012.0,2024/11/14,2024/11/14,read
10,Suyu Arayan Adam,Şevket Süreyya Aydemir,0,4.41,408.0,2020.0,1959.0,,2024/11/12,to-read
11,Ocean Sea,Alessandro Baricco,0,4.09,256.0,2000.0,1993.0,,2024/09/28,to-read
12,Kuyrukluyıldız Altında Bir İzdivaç,Hüseyin Rahmi Gürpınar,5,3.97,160.0,2018.0,1912.0,2024/09/22,2024/09/05,read
13,Udî,Fatma Aliye Hanım,0,4.05,126.0,2009.0,1899.0,,2024/09/18,to-read
14,Harp Dönüşü,Burhan Cahit Morkaya,0,3.5,232.0,2024.0,,,2024/09/18,to-read
15,The Museum of Innocence,Orhan Pamuk,2,3.78,536.0,2009.0,2008.0,,2024/08/19,read
16,Kuşlar da Gitti,Yaşar Kemal,3,3.84,79.0,2003.0,1978.0,2024/08/13,2024/07/27,read
17,"Esir Şehrin İnsanları (Esir Şehir Üçlemesi, #1)",Kemal Tahir,4,4.29,440.0,2015.0,1956.0,2024/07/21,2024/05/28,read
18,Polonya Tarihi (Palgrave Essential Histories),Anita J. Prażmowska,0,3.76,344.0,2023.0,2004.0,,2024/07/07,to-read
19,Ufalanmış Tarih: Annales Okulu'ndan Yeni Tarih'e,François Dosse,0,3.58,282.0,2017.0,1987.0,,2024/07/07,to-read
20,Books on Fire: The Destruction of Libraries throughout History,Lucien X. Polastron,0,3.44,384.0,2007.0,2004.0,,2024/07/07,to-read
21,Danismendname (3 Volumes Set),Necati Demir,0,0.0,1.0,2020.0,,,2024/07/03,to-read
22,"Elmaslar İçinde (Cingöz Recai, #1)",Peyami Safa,0,3.82,127.0,2008.0,,,2024/06/30,to-read
23,Cingöz'ün Esrarı,Server Bedi,0,4.18,304.0,2015.0,1925.0,,2024/06/30,to-read
24,"Swann'ların Tarafı (Kayıp Zamanın İzinde, #1)",Marcel Proust,0,4.15,439.0,2004.0,1913.0,,2024/06/01,to-read
25,Mezbaha 5,Kurt Vonnegut Jr.,0,4.1,180.0,2015.0,1969.0,,2021/11/18,currently-reading
26,Türk Mitolojisi Atlası,Bartu Bölükbaşı,0,4.83,384.0,2022.0,2022.0,,2024/05/24,to-read
27,Gesar: Tutuşan Bozkırlar,Bartu Bölükbaşı,0,4.0,295.0,2021.0,,,2024/05/24,to-read
28,Suskunlar,İhsan Oktay Anar,5,4.36,269.0,2007.0,2007.0,2024/05/24,2024/04/22,read
29,Nataşa'nın Dansı: Rusya'nın Kültürel Tarihi,Orlando Figes,0,4.24,784.0,2009.0,2002.0,,2024/05/23,to-read
30,The Aleph and Other Stories,Jorge Luis Borges,0,4.33,210.0,2004.0,1945.0,,2024/05/06,to-read
31,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,5,4.4,395.0,2005.0,1954.0,2021/08/11,2021/06/09,read
32,"Ben, Robot",Isaac Asimov,5,4.21,238.0,2016.0,1950.0,2021/03/31,2021/01/24,read
33,Venedik'te Ölüm,Thomas Mann,3,3.74,116.0,2007.0,1911.0,2024/05/05,2023/08/05,read
34,Usta ve Margarita,Mikhail Bulgakov,0,4.29,520.0,2018.0,1967.0,,2024/04/29,to-read
35,Boğaziçi Yalıları,Abdülhak Şinasi Hisar,0,3.83,95.0,2006.0,1954.0,,2024/04/23,currently-reading
36,Üç Anadolu Efsanesi,Yaşar Kemal,4,4.21,218.0,1996.0,1967.0,2024/04/27,2024/04/15,read
37,Masallar,J.R.R. Tolkien,0,3.77,171.0,2000.0,1945.0,,2024/04/22,to-read
38,Buddenbrooklar - Bir Ailenin Çöküşü,Thomas Mann,0,4.19,831.0,2009.0,1901.0,,2024/04/22,to-read
39,İbn Battûta Seyahatnâmesi,Ibn Battuta,0,3.9,1104.0,2000.0,1355.0,,2024/04/18,to-read
40,Aydaki Kadın,Ahmet Hamdi Tanpınar,0,3.81,304.0,2015.0,1987.0,,2024/04/18,to-read
41,Mahur Beste,Ahmet Hamdi Tanpınar,0,4.1,175.0,2013.0,1944.0,,2024/04/18,to-read
42,Türk Mitolojisi,Pertev Naili Boratav,0,3.74,127.0,2012.0,,,2024/04/15,to-read
43,Nasreddin Hoca,Pertev Naili Boratav,0,4.36,350.0,2006.0,1996.0,,2024/04/15,to-read
44,Ağrıdağı Efsanesi,Yaşar Kemal,0,4.18,120.0,2004.0,1970.0,,2024/04/15,to-read
45,Sevgili Arsız Ölüm,Latife Tekin,0,4.09,240.0,2013.0,1983.0,,2024/04/15,to-read
46,Kan Konuşmaz (Romanlar 1),Nâzım Hikmet,0,4.07,300.0,2007.0,1984.0,,2024/04/15,to-read
47,Yaşamak Güzel Şey Be Kardeşim (Romanlar 3),Nâzım Hikmet,0,4.15,170.0,2002.0,1964.0,,2024/04/15,to-read
48,Amat,İhsan Oktay Anar,5,4.3,235.0,2005.0,2005.0,2024/04/14,2024/04/05,read
49,Kafka on the Shore,Haruki Murakami,2,4.13,505.0,2005.0,2002.0,2024/04/02,2022/12/15,read
